,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
28,21984,1610612747,LAL,Los Angeles Lakers,0028400844,1985-03-29,LAL vs. DAL,W,240,120,53,95,0.558,0,5,0.0,14,17,0.824,10,34,44,31,4,6,16,19,
29,21984,1610612747,LAL,Los Angeles Lakers,0028400833,1985-03-27,LAL @ SEA,W,240,122,48,91,0.527,0,4,0.0,26,30,0.867,10,31,41,33,11,7,15,29,
30,21984,1610612747,LAL,Los Angeles Lakers,0028400831,1985-03-26,LAL @ POR,L,255,113,42,84,0.5,1,5,0.2,28,33,0.848,11,33,44,29,10,1,27,32,
31,21984,1610612747,LAL,Los Angeles Lakers,0028400819,1985-03-24,LAL vs. DET,W,240,148,64,98,0.653,1,4,0.25,19,27,0.704,8,29,37,44,8,10,14,25,
32,21984,1610612747,LAL,Los Angeles Lakers,0028400804,1985-03-22,LAL @ HOU,W,240,130,55,89,0.618,3,3,1.0,17,22,0.773,12,44,56,39,14,3,24,24,
33,21984,1610612747,LAL,Los Angeles Lakers,0028400791,1985-03-19,LAL @ PHX,W,240,130,49,87,0.563,2,4,0.5,30,34,0.882,12,30,42,27,11,3,20,26,
34,21984,1610612747,LAL,Los Angeles Lakers,0028400770,1985-03-16,LAL @ LAC,W,240,123,48,91,0.527,1,3,0.333,26,31,0.839,14,36,50,33,5,3,15,23,
35,21984,1610612747,LAL,Los Angeles Lakers,0028400765,1985-03-15,LAL vs. SAN,W,240,115,45,86,0.523,1,5,0.2,24,31,0.774,15,25,40,31,8,7,15,16,
36,21984,1610612747,LAL,Los Angeles Lakers,0028400751,1985-03-13,LAL @ UTH,W,240,120,46,90,0.511,1,5,0.2,27,33,0.818,18,31,49,31,14,4,15,18,
37,21984,1610612747,LAL,Los Angeles Lakers,0028400741,1985-03-12,LAL vs. UTH,W,240,123,50,93,0.538,2,6,0.333,21,29,0.724,17,36,53,32,9,7,22,26,
38,21984,1610612747,LAL,Los Angeles Lakers,0028400731,1985-03-09,LAL vs. CLE,W,240,133,56,96,0.583,3,5,0.6,18,27,0.667,14,40,54,46,8,9,22,31,
